,,root
LIPE,mut_important,0.027444432
LIPE,cnv_del,0.022546636
LIPE,cnv_amp,-0.08142769
PAX8,mut_important,2.0950662e-08
PAX8,cnv_del,2.2067148e-10
PAX8,cnv_amp,1.4681918e-09
NDUFS7,mut_important,0.01933915
NDUFS7,cnv_del,0.14578502
NDUFS7,cnv_amp,-0.19557104
RNF7,mut_important,1.0930525e-07
RNF7,cnv_del,5.5264368e-33
RNF7,cnv_amp,1.02958046e-32
ZNF77,mut_important,1.6586732e-13
ZNF77,cnv_del,-6.9551786e-14
ZNF77,cnv_amp,7.300388e-13
ASB12,mut_important,-2.0672219e-07
ASB12,cnv_del,1.8082649e-32
ASB12,cnv_amp,7.133355e-33
ALG11,mut_important,-0.022167496
ALG11,cnv_del,9.75685e-32
ALG11,cnv_amp,-7.677062e-23
DAG1,mut_important,1.4306234e-11
DAG1,cnv_del,1.3527147e-32
DAG1,cnv_amp,1.6599285e-32
TSPAN8,mut_important,9.276053e-29
TSPAN8,cnv_del,-0.001723277
TSPAN8,cnv_amp,0.013571449
SPP2,mut_important,-1.455401e-06
SPP2,cnv_del,6.6337496e-33
SPP2,cnv_amp,-7.881238e-33
SEZ6L2,mut_important,-0.005251478
SEZ6L2,cnv_del,-0.36122322
SEZ6L2,cnv_amp,0.052880302
MCCC1,mut_important,-0.23861909
MCCC1,cnv_del,1.0858366e-32
MCCC1,cnv_amp,9.763269e-29
WFIKKN2,mut_important,-5.5155047e-33
WFIKKN2,cnv_del,0.21780305
WFIKKN2,cnv_amp,-0.43760228
TMEM120A,mut_important,-0.05691128
TMEM120A,cnv_del,-7.062986e-33
TMEM120A,cnv_amp,-9.582593e-33
RHOT1,mut_important,-0.011687565
RHOT1,cnv_del,-0.0014438388
RHOT1,cnv_amp,-0.0020383145
DTNA,mut_important,0.32800084
DTNA,cnv_del,0.1668023
DTNA,cnv_amp,0.46667728
SEMA7A,mut_important,-0.051340327
SEMA7A,cnv_del,-0.0012574699
SEMA7A,cnv_amp,-0.03606942
FAM83G,mut_important,-0.00092802144
FAM83G,cnv_del,-0.00060256897
