,fanin,fanout,degree
R-HSA-1566977,1.0,1.0,2.0
R-HSA-216083,26.0,1.0,27.0
R-HSA-3000157,12.0,1.0,13.0
R-HSA-3000178,23.0,1.0,24.0
R-HSA-8941237,3.0,1.0,4.0
R-HSA-1237044,6.0,1.0,7.0
R-HSA-1247673,2.0,1.0,3.0
R-HSA-1855156,0.0,1.0,1.0
R-HSA-1855167,3.0,1.0,4.0
R-HSA-1855170,0.0,1.0,1.0
R-HSA-1855183,11.0,1.0,12.0
R-HSA-1855184,0.0,1.0,1.0
R-HSA-1855191,3.0,1.0,4.0
R-HSA-1855192,0.0,1.0,1.0
R-HSA-1855196,0.0,1.0,1.0
R-HSA-1855204,17.0,1.0,18.0
R-HSA-1855215,0.0,1.0,1.0
R-HSA-1855229,0.0,1.0,1.0
R-HSA-1855231,0.0,1.0,1.0
R-HSA-1221632,29.0,1.0,30.0
R-HSA-912446,24.0,1.0,25.0
R-HSA-373753,14.0,1.0,15.0
R-HSA-391160,7.0,1.0,8.0
R-HSA-2473224,3.0,1.0,4.0
R-HSA-156581,8.0,1.0,9.0
R-HSA-156582,0.0,1.0,1.0
R-HSA-174362,3.0,2.0,5.0
R-HSA-2129379,14.0,1.0,15.0
R-HSA-156902,27.0,1.0,28.0
R-HSA-171306,13.0,1.0,14.0
R-HSA-499943,12.0,1.0,13.0
R-HSA-2151201,18.0,1.0,19.0
R-HSA-2151209,7.0,1.0,8.0
R-HSA-8949613,9.0,1.0,10.0
R-HSA-1237112,4.0,1.0,5.0
R-HSA-1614603,2.0,1.0,3.0
R-HSA-2028269,13.0,1.0,14.0
R-HSA-2586552,9.0,1.0,10.0
R-HSA-162699,1.0,1.0,2.0
R-HSA-162710,11.0,1.0,12.0
R-HSA-162791,4.0,1.0,5.0
R-HSA-163210,0.0,1.0,1.0
R-HSA-164378,8.0,1.0,9.0
R-HSA-163358,1.0,1.0,2.0
R-HSA-163680,5.0,1.0,6.0
R-HSA-163754,1.0,1.0,2.0
R-HSA-163765,4.0,1.0,5.0
R-HSA-163767,4.0,1.0,5.0
R-HSA-1663150,6.0,1.0,7.0
R-HSA-204626,3.0,1.0,4.0
R-HSA-5358493,5.0,1.0,6.0
R-HSA-8948216,20.0,1.0,21.0
R-HSA-165181,3.0,1.0,4.0
R-HSA-166208,10.0,1.0,11.0
R-HSA-380972,23.0,1.0,24.0
R-HSA-166665,3.0,1.0,4.0
R-HSA-174577,0.0,1.0,1.0
R-HSA-977606,14.0,1.0,15.0
R-HSA-1222556,14.0,1.0,15.0
R-HSA-6798695,227.0,1.0,228.0
