,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
SIX4,0.0,0.0,0.0,-0.056590393,0.22805494
NEDD1,0.0,5.0,0.0,-0.056590393,-0.57195526
CTNND1,3.7506962e-07,2.0,3.7506962e-07,-0.054780435,-0.09065252
MYO7B,0.0,0.0,0.0,-0.056590393,0.22805494
COG8,2.6641002e-05,3.0,2.6641002e-05,0.07197011,-0.15985174
FAM180B,0.0,0.0,0.0,-0.056590393,0.22805494
OR10R2,1.3747775e-15,1.0,1.3747775e-15,-0.056590393,0.06805289
SLC4A1AP,0.0,0.0,0.0,-0.056590393,0.22805494
DCAF17,0.0,1.0,0.0,-0.056590393,0.06805289
N4BP2L1,0.0,0.0,0.0,-0.056590393,0.22805494
PIK3CB,5.9416675e-07,16.0,5.9416675e-07,-0.053723145,-2.3299236
OR52E2,2.1942828e-11,1.0,2.1942828e-11,-0.056590285,0.06805296
BTBD7,0.0,0.0,0.0,-0.056590393,0.22805494
DOPEY2,0.0,0.0,0.0,-0.056590393,0.22805494
CDC25A,2.787678e-07,8.0,2.787678e-07,-0.055245154,-1.0509977
FDCSP,0.0,0.0,0.0,-0.056590393,0.22805494
NCAPD2,0.0,1.0,0.0,-0.056590393,0.06805289
DHX16,4.276648e-08,1.0,4.276648e-08,-0.056384016,0.06820074
GRM5,3.2742691e-18,2.0,3.2742691e-18,-0.056590393,-0.09194915
LIN28B,0.0,0.0,0.0,-0.056590393,0.22805494
SMURF2,4.031664e-11,8.0,4.031664e-11,-0.0565902,-1.0519612
TMEM92,0.0,0.0,0.0,-0.056590393,0.22805494
KRT25,0.0,0.0,0.0,-0.056590393,0.22805494
STAG2,0.0,7.0,0.0,-0.056590393,-0.89195937
SLC28A3,5.1193116e-10,1.0,5.1193116e-10,-0.05658792,0.06805466
GLI3,1.3709946e-07,3.0,1.3709946e-07,-0.055928797,-0.2514772
OAF,0.0,0.0,0.0,-0.056590393,0.22805494
IQCF5,0.0,0.0,0.0,-0.056590393,0.22805494
TMEM2,0.0,0.0,0.0,-0.056590393,0.22805494
FUT6,0.0,0.0,0.0,-0.056590393,0.22805494
LCE3B,1.2629369e-14,1.0,1.2629369e-14,-0.056590393,0.06805289
FKBP14,0.0,1.0,0.0,-0.056590393,0.06805289
MYH1,0.0,0.0,0.0,-0.056590393,0.22805494
ADRA2B,0.0,3.0,0.0,-0.056590393,-0.2519512
TMEM183A,0.0,0.0,0.0,-0.056590393,0.22805494
MED12,2.1947619e-16,1.0,2.1947619e-16,-0.056590393,0.06805289
TTLL7,8.8050883e-10,1.0,8.8050883e-10,-0.056586143,0.068055935
TCF3,0.0,2.0,0.0,-0.056590393,-0.09194915
TWIST2,0.0,0.0,0.0,-0.056590393,0.22805494
GFM2,0.0,1.0,0.0,-0.056590393,0.06805289
DEFB135,0.0,1.0,0.0,-0.056590393,0.06805289
UCK1,4.1798518e-07,1.0,4.1798518e-07,-0.054573335,0.06949789
HOXB6,0.0,0.0,0.0,-0.056590393,0.22805494
HNRNPA1,3.8858794e-10,2.0,3.8858794e-10,-0.056588516,-0.0919478
SLC9B2,0.0,0.0,0.0,-0.056590393,0.22805494
SLC9A4,1.0783523e-12,1.0,1.0783523e-12,-0.056590386,0.068052895
AK8,7.397467e-12,1.0,7.397467e-12,-0.056590356,0.06805292
CHRAC1,0.0,0.0,0.0,-0.056590393,0.22805494
MTMR10,5.468475e-09,1.0,5.468475e-09,-0.056564,0.0680718
OR4A15,5.002043e-09,1.0,5.002043e-09,-0.056566253,0.06807018
MLKL,0.0,0.0,0.0,-0.056590393,0.22805494
CA5A,0.0,1.0,0.0,-0.056590393,0.06805289
PRODH2,0.0,1.0,0.0,-0.056590393,0.06805289
MAP2K2,0.0,11.0,0.0,-0.056590393,-1.5319674
NOMO3,0.0,0.0,0.0,-0.056590393,0.22805494
AMDHD1,0.0,1.0,0.0,-0.056590393,0.06805289
ASB18,0.0,2.0,0.0,-0.056590393,-0.09194915
GRID2,0.0,0.0,0.0,-0.056590393,0.22805494
CD44,2.3066724e-17,4.0,2.3066724e-17,-0.056590393,-0.41195324
DDX25,0.0,0.0,0.0,-0.056590393,0.22805494
SYNRG,0.0,0.0,0.0,-0.056590393,0.22805494
TFDP1,0.0,13.0,0.0,-0.056590393,-1.8519715
NOL6,1.0934442e-09,2.0,1.0934442e-09,-0.056585114,-0.091945365
ARF1,0.00016513877,10.0,0.00016513877,0.7403137,-0.8010714
DNM1,0.0,5.0,0.0,-0.056590393,-0.57195526
DEFB136,6.128771e-21,1.0,6.128771e-21,-0.056590393,0.06805289
KRTAP13-2,0.0,0.0,0.0,-0.056590393,0.22805494
DCC,0.0,6.0,0.0,-0.056590393,-0.7319573
CFL1,2.533489e-10,6.0,2.533489e-10,-0.056589168,-0.7319564
HNRNPUL2,0.0,0.0,0.0,-0.056590393,0.22805494
OAT,0.0,0.0,0.0,-0.056590393,0.22805494
GATA3,0.0,4.0,0.0,-0.056590393,-0.41195324
ATP6AP1,0.0,2.0,0.0,-0.056590393,-0.09194915
CARS,1.2778897e-11,1.0,1.2778897e-11,-0.05659033,0.06805293
RASD2,0.0,0.0,0.0,-0.056590393,0.22805494
MOCS2,9.779578e-12,1.0,9.779578e-12,-0.056590345,0.068052925
TMEM216,0.0,1.0,0.0,-0.056590393,0.06805289
ERCC5,2.1824418e-07,3.0,2.1824418e-07,-0.05553722,-0.25119668
APH1B,1.5566133e-11,10.0,1.5566133e-11,-0.05659032,-1.3719653
JARID2,1.3159769e-15,1.0,1.3159769e-15,-0.056590393,0.06805289
AGPS,0.0,2.0,0.0,-0.056590393,-0.09194915
SGTB,0.0,0.0,0.0,-0.056590393,0.22805494
BHLHB9,0.0,0.0,0.0,-0.056590393,0.22805494
