,coef,coef_graph,coef_combined,coef_combined_zscore,coef_combined2
CSF1R,1.056439e-05,1.0,1.056439e-05,-0.096871756,0.064487435
DARS,2.914086e-06,2.0,2.914086e-06,-0.10162731,-0.11635222
ZNF20,0.0,0.0,0.0,-0.10343876,0.23665415
WDR92,0.0,0.0,0.0,-0.10343876,0.23665415
TMTC1,0.0,0.0,0.0,-0.10343876,0.23665415
SLC5A9,2.1921896e-07,1.0,2.1921896e-07,-0.10330248,0.059561588
CACNA2D4,3.4015716e-06,2.0,3.4015716e-06,-0.10132428,-0.116120115
CD74,9.7817065e-08,1.0,9.7817065e-08,-0.10337795,0.059503783
GSDMB,0.0,0.0,0.0,-0.10343876,0.23665415
EFCAB11,0.0,0.0,0.0,-0.10343876,0.23665415
RBM48,0.0,0.0,0.0,-0.10343876,0.23665415
DNAJA3,0.0,0.0,0.0,-0.10343876,0.23665415
NRBP1,8.408585e-06,1.0,8.408585e-06,-0.09821183,0.06346095
PIGK,1.223229e-07,1.0,1.223229e-07,-0.10336272,0.05951545
TBKBP1,0.0,0.0,0.0,-0.10343876,0.23665415
FANCE,2.4361289e-05,1.0,2.4361289e-05,-0.08829536,0.07105682
KDM3A,1.4126668e-06,1.0,1.4126668e-06,-0.10256062,0.06012985
RSAD2,0.0,0.0,0.0,-0.10343876,0.23665415
MRPL15,2.880151e-06,3.0,2.880151e-06,-0.101648405,-0.29356533
SCGB3A1,0.0,0.0,0.0,-0.10343876,0.23665415
NUP133,0.0066256677,22.0,0.0066256677,4.0151887,-0.50687057
GREB1,2.2137192e-09,1.0,2.2137192e-09,-0.10343738,0.05945826
ZNF35,0.0,0.0,0.0,-0.10343876,0.23665415
MAGED2,4.1642165e-06,1.0,4.1642165e-06,-0.1008502,0.06144
TAB3,0.00013498937,8.0,0.00013498937,-0.019527072,-1.1166464
RBM47,0.0,0.0,0.0,-0.10343876,0.23665415
AGAP4,0.0,0.0,0.0,-0.10343876,0.23665415
OTUD6B,0.0,0.0,0.0,-0.10343876,0.23665415
ACAA1,0.00075441634,4.0,0.00075441634,0.36551923,-0.112918735
KLHL7,0.0,0.0,0.0,-0.10343876,0.23665415
