,coef
R-HSA-5666185,3.4164037e-07
R-HSA-5668599,0.0005661819
R-HSA-3238698,0.0049335156
R-HSA-196741,0.025494576
R-HSA-196757,0.032991327
R-HSA-196780,0.009706704
R-HSA-196819,0.000106468025
R-HSA-196836,0.001035407
R-HSA-196843,0.29974583
R-HSA-947581,0.014490041
R-HSA-964975,0.00074937753
R-HSA-2122947,0.005727236
R-HSA-2122948,0.0032663317
R-HSA-2197563,0.0017634694
R-HSA-2979096,0.056116085
R-HSA-204005,0.30005512
R-HSA-5694530,0.042006634
R-HSA-6807878,0.0139472205
R-HSA-1445148,0.0069391006
R-HSA-917729,0.002854799
R-HSA-201688,0.021580346
R-HSA-3769402,0.03247784
R-HSA-3772470,0.0005707002
R-HSA-4641257,0.013774711
R-HSA-4641258,0.058696255
R-HSA-4641262,0.031670563
R-HSA-4641263,0.0010660266
R-HSA-5368598,0.0019734523
R-HSA-2214320,0.0
R-HSA-2243919,0.013783309
R-HSA-202424,0.011866315
R-HSA-202427,0.016171494
R-HSA-202430,0.0012938704
R-HSA-202433,0.018897345
R-HSA-210990,0.0006962382
R-HSA-210991,0.0031253947
R-HSA-210993,0.0061612157
R-HSA-2029481,0.0070670177
R-HSA-2029482,0.020929685
R-HSA-2029485,0.031782232
R-HSA-203615,0.0017032229
R-HSA-203641,0.014369735
R-HSA-203754,0.0
R-HSA-209905,0.0011068379
R-HSA-209931,0.0019135237
R-HSA-209822,6.184368e-05
R-HSA-211163,3.0210136e-05
R-HSA-203927,0.0006520257
R-HSA-426486,0.0014495961
R-HSA-426496,0.0006853762
R-HSA-5578749,0.0006402132
R-HSA-5601884,0.0034664208
R-HSA-5423646,0.00015749311
R-HSA-140180,0.00074287754
R-HSA-217271,2.5292025e-05
R-HSA-71384,0.012977761
R-HSA-8937144,0.00032500073
R-HSA-212300,0.0005832837
R-HSA-5221030,0.00045640994
R-HSA-5334118,0.00011091368
R-HSA-2032785,0.0145747615
R-HSA-350054,0.00019719775
R-HSA-383280,0.024090301
R-HSA-8953750,0.0008343155
R-HSA-2161517,9.717472e-05
R-HSA-2161541,0.00021451242
R-HSA-2424491,0.00241919
R-HSA-2168880,0.0001063279
R-HSA-3000471,0.0007910058
R-HSA-3000480,0.014098882
R-HSA-3000484,0.0027711699
R-HSA-3000497,0.0049383277
R-HSA-975634,0.0013556122
R-HSA-2219530,0.026655193
R-HSA-5674400,0.013302981
R-HSA-5674404,0.0
R-HSA-3299685,0.2141661
R-HSA-3371497,3.9259985e-06
R-HSA-2408499,0.0
R-HSA-2408508,0.0017425884
R-HSA-2408517,0.000372398
R-HSA-2408550,6.460776e-05
R-HSA-2408552,0.015931219
R-HSA-2408557,0.0002688144
R-HSA-5263617,0.00022472885
R-HSA-2730905,0.00055127114
R-HSA-2871796,0.0003676653
R-HSA-2871809,0.0016245991
R-HSA-2871837,0.008246876
R-HSA-6809583,0.0
R-HSA-2559580,0.02068797
R-HSA-2559582,0.22390261
R-HSA-2559585,0.102651075
R-HSA-3295583,0.0072380425
R-HSA-3928662,0.0069792867
R-HSA-3928663,0.0013813594
R-HSA-3928664,0.0017084415
R-HSA-3928665,0.01374062
R-HSA-2022377,0.0081064515
R-HSA-264876,0.02818116
R-HSA-422085,0.00029089782
R-HSA-3000170,0.015315828
R-HSA-3214815,0.0006953393
R-HSA-3214841,0.0010015937
R-HSA-3214842,0.00014696334
R-HSA-3214847,3.0347715e-05
R-HSA-3214858,0.0005521843
